color,congruent,word,corrans,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,inverse2.thisRepN,inverse2.thisTrialN,inverse2.thisN,inverse2.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,date,frameRate,expName,session,participant,
BLUE,0,RED,m,0,32,32,32,,,,,,,,,,,,,,,,m,1,0.633242567251,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,0,33,33,33,,,,,,,,,,,,,,,,x,1,0.949869644456,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,0,34,34,34,,,,,,,,,,,,,,,,n,1,1.06653678013,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,0,RED,n,0,35,35,35,,,,,,,,,,,,,,,,n,1,0.683271948977,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,GREEN,m,0,36,36,36,,,,,,,,,,,,,,,,m,1,0.88319646691,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,0,YELLOW,m,0,37,37,37,,,,,,,,,,,,,,,,m,1,0.600051645625,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,0,GREEN,x,0,38,38,38,,,,,,,,,,,,,,,,x,1,0.916639988611,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,BLUE,z,0,39,39,39,,,,,,,,,,,,,,,,z,1,0.79997848099,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
,,,,,,,,,,,,,,,,,,,,,,None,,,,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,1,RED,z,,,,,0,0,0,0,,,,,,,,,,,,z,1,1.04988338352,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,,,,,0,1,1,9,,,,,,,,,,,,n,1,0.750134493815,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,,,,,0,2,2,4,,,,,,,,,,,,n,1,0.600007283357,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,3,3,27,,,,,,,,,,,,x,1,0.633261106706,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,,,,,0,4,4,32,,,,,,,,,,,,m,1,0.583404870249,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,,,,,0,5,5,22,,,,,,,,,,,,n,1,0.766587267036,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,,,,,0,6,6,37,,,,,,,,,,,,m,1,0.63337300556,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,,,,,0,7,7,13,,,,,,,,,,,,m,0,0.816657700412,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,8,8,30,,,,,,,,,,,,x,1,1.1667276372,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,9,9,33,,,,,,,,,,,,x,1,0.566674998386,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,10,10,7,,,,,,,,,,,,x,1,0.716655879573,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,,,,,0,11,11,28,,,,,,,,,,,,n,1,0.966506819043,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,,,,,0,12,12,19,,,,,,,,,,,,m,1,0.899929649389,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,1,RED,z,,,,,0,13,13,8,,,,,,,,,,,,z,1,0.766592564023,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,,,,,0,14,14,25,,,,,,,,,,,,n,1,0.916552588323,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,,,,,0,15,15,15,,,,,,,,,,,,m,1,0.783285025914,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,0,GREEN,z,,,,,0,16,16,1,,,,,,,,,,,,z,1,1.09981775054,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,1,RED,z,,,,,0,17,17,17,,,,,,,,,,,,z,1,0.733304310258,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,,,,,0,18,18,36,,,,,,,,,,,,m,1,0.683224938216,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
RED,1,RED,z,,,,,0,19,19,24,,,,,,,,,,,,z,1,0.733358273314,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
YELLOW,1,YELLOW,z,,,,,0,20,20,3,,,,,,,,,,,,x,0,0.649951913288,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
GREEN,1,GREEN,n,,,,,0,21,21,39,,,,,,,,,,,,n,1,0.899952823708,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,,,,,0,22,22,26,,,,,,,,,,,,m,1,0.683208054069,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
BLUE,1,BLUE,m,,,,,0,23,23,31,,,,,,,,,,,,m,1,0.683367956869,,,2016_Sep_06_0925,60.0134507409,stroop short,002,ChiK13,
