 [File Information]      		 [Data Line]	36
Measured Date	2016/09/08 11:06:36
ID	03001	Version	5.01
Name	ChiK13	[HeaderType]	5.01/2.01
Comment	
[Measurement Info.]
Holder Location	      19
Block Design	Off     
Pre.Rest Time	      60
Task Time	     120
Pos.Rest Time	      30
Loop	       1
Averaging	       1
Total Points	   10913
[.INF File]
Filename	thuong0402.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
   0.00,  0.00,  0.00,  0.00,536.00,458.00,653.00,  0.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Voltage 
Time Range	    0.00	  600.16	Averaing	1
(8,6)(3,6)(8,7)(5,6)(3,5)(5,7)(5,5)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7
Time(sec)	Task	Mark	Count	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm
   176.660	1	0	    0	    0.769512	    0.700847	    0.716716	    1.857176	    1.340810	    1.813840	    1.979248	    1.433890	    1.576104	    0.280613	    0.207980	    0.204929	    1.701839	    1.384756	    1.453727	    1.814450	    1.214771	    1.158007	    1.733272	    1.246815	    1.204089
   176.715	1	0	    0	    0.770428	    0.704204	    0.718853	    1.868162	    1.339895	    1.818112	    1.978027	    1.422904	    1.570306	    0.282444	    0.208591	    0.204929	    1.703059	    1.378042	    1.462882	    1.832456	    1.223011	    1.153124	    1.752804	    1.249866	    1.209888
   176.770	1	0	    0	    0.758526	    0.690471	    0.706035	    1.858701	    1.335012	    1.802243	    1.950561	    1.392691	    1.540398	    0.280003	    0.207370	    0.201877	    1.690547	    1.367361	    1.438163	    1.794308	    1.208362	    1.130846	    1.720455	    1.232166	    1.182422
   176.825	1	0	    0	    0.755169	    0.689860	    0.708171	    1.837949	    1.323110	    1.788510	    1.933776	    1.411002	    1.548943	    0.275425	    0.204623	    0.199130	    1.666133	    1.356374	    1.423514	    1.773556	    1.192493	    1.128099	    1.699397	    1.224842	    1.180285
   176.880	1	0	    0	    0.759442	    0.686809	    0.705119	    1.838560	    1.322805	    1.786679	    1.945678	    1.387808	    1.533989	    0.276036	    0.204623	    0.198520	    1.666743	    1.351186	    1.425345	    1.757382	    1.198291	    1.122911	    1.696345	    1.216602	    1.174792
   176.935	1	0	    0	    0.760967	    0.690776	    0.706035	    1.839780	    1.315175	    1.784237	    1.951781	    1.400320	    1.528191	    0.277867	    0.205234	    0.198825	    1.670100	    1.346914	    1.428397	    1.768673	    1.183337	    1.132067	    1.710079	    1.219348	    1.180285
   176.990	1	0	    0	    0.758831	    0.691691	    0.704204	    1.845579	    1.323415	    1.792477	    1.935607	    1.393912	    1.551690	    0.276646	    0.204929	    0.199435	    1.673152	    1.359121	    1.431449	    1.766842	    1.200122	    1.131456	    1.708858	    1.223011	    1.180896
   177.045	1	0	    0	    0.756695	    0.693523	    0.709087	    1.845884	    1.327993	    1.789120	    1.934081	    1.393301	    1.548638	    0.276951	    0.204929	    0.201266	    1.677424	    1.358511	    1.432975	    1.766537	    1.190356	    1.136034	    1.705806	    1.228504	    1.187304
   177.100	1	0	    0	    0.762493	    0.693217	    0.709697	    1.838254	    1.329824	    1.790951	    1.950561	    1.406424	    1.545892	    0.279393	    0.205844	    0.202182	    1.677729	    1.364309	    1.429618	    1.788815	    1.207141	    1.135424	    1.714961	    1.230030	    1.188830
   177.155	1	0	    0	    0.764324	    0.695659	    0.712444	    1.848020	    1.330739	    1.797360	    1.960937	    1.410086	    1.561456	    0.279698	    0.207675	    0.201877	    1.686275	    1.371023	    1.443046	    1.797665	    1.205005	    1.149462	    1.725948	    1.243153	    1.198596
   177.210	1	0	    0	    0.767987	    0.699016	    0.716716	    1.848936	    1.335622	    1.805905	    1.976806	    1.400626	    1.577325	    0.280919	    0.209201	    0.203098	    1.692988	    1.374075	    1.452201	    1.815671	    1.226062	    1.152819	    1.734798	    1.251392	    1.203784
   177.265	1	0	    0	    0.770733	    0.700237	    0.720684	    1.860533	    1.338369	    1.812009	    1.966735	    1.425040	    1.580072	    0.282139	    0.208591	    0.204013	    1.702144	    1.378042	    1.456474	    1.815671	    1.225452	    1.157092	    1.745480	    1.257191	    1.208667
   177.320	1	0	    0	    0.770733	    0.702983	    0.717937	    1.862669	    1.348745	    1.819638	    1.984131	    1.427176	    1.577020	    0.281834	    0.210422	    0.205234	    1.704585	    1.386587	    1.465324	    1.832456	    1.235828	    1.168078	    1.749142	    1.264210	    1.225452
   177.375	1	0	    0	    0.770123	    0.706645	    0.720073	    1.867857	    1.347829	    1.826352	    1.987793	    1.442435	    1.579156	    0.284276	    0.209812	    0.204929	    1.711299	    1.391165	    1.469902	    1.844358	    1.245594	    1.164111	    1.766842	    1.264515	    1.225147
   177.430	1	0	    0	    0.761273	    0.698100	    0.712139	    1.866941	    1.339284	    1.814450	    1.960327	    1.405203	    1.561151	    0.281529	    0.209201	    0.203403	    1.701534	    1.370718	    1.459220	    1.811093	    1.216602	    1.138170	    1.747005	    1.255360	    1.202564
   177.485	1	0	    0	    0.758221	    0.691081	    0.706645	    1.852293	    1.330739	    1.792477	    1.956664	    1.404288	    1.541619	    0.277562	    0.205844	    0.202182	    1.684749	    1.362173	    1.433280	    1.782101	    1.189746	    1.134203	    1.719539	    1.237354	    1.194629
   177.540	1	0	    0	    0.756085	    0.690166	    0.706035	    1.841917	    1.328603	    1.798581	    1.933471	    1.395743	    1.545586	    0.277867	    0.206149	    0.201266	    1.676814	    1.361563	    1.429007	    1.793393	    1.192493	    1.129320	    1.720455	    1.233692	    1.194018
   177.595	1	0	    0	    0.761578	    0.690471	    0.707866	    1.841917	    1.328603	    1.796139	    1.939879	    1.401236	    1.532158	    0.278477	    0.204013	    0.200046	    1.668879	    1.357595	    1.433585	    1.777523	    1.200122	    1.136034	    1.721370	    1.228809	    1.194629
   177.650	1	0	    0	    0.759136	    0.692607	    0.710002	    1.847410	    1.327382	    1.797055	    1.938659	    1.411002	    1.556573	    0.278172	    0.204929	    0.200046	    1.671931	    1.356069	    1.432364	    1.779660	    1.205005	    1.130236	    1.720150	    1.237659	    1.192493
   177.705	1	0	    0	    0.760662	    0.691386	    0.709087	    1.846799	    1.325856	    1.796750	    1.959716	    1.403983	    1.546197	    0.277867	    0.205539	    0.200656	    1.681392	    1.358511	    1.435721	    1.782712	    1.208057	    1.119860	    1.721675	    1.238575	    1.188220
   177.760	1	0	    0	    0.763104	    0.695048	    0.710002	    1.844968	    1.333181	    1.803159	    1.955444	    1.405203	    1.530632	    0.279393	    0.206760	    0.201572	    1.680476	    1.363699	    1.442741	    1.793698	    1.211109	    1.139696	    1.719539	    1.244068	    1.204700
   177.815	1	0	    0	    0.767681	    0.699016	    0.715190	    1.848325	    1.336843	    1.805600	    1.956359	    1.414969	    1.560540	    0.279088	    0.206760	    0.201877	    1.681697	    1.367971	    1.444572	    1.802243	    1.216907	    1.154040	    1.724422	    1.246815	    1.208362
   177.870	1	0	    0	    0.766155	    0.702068	    0.715496	    1.852598	    1.336538	    1.811398	    1.975586	    1.409781	    1.576104	    0.281224	    0.208591	    0.203098	    1.682307	    1.374075	    1.452811	    1.803769	    1.224231	    1.157397	    1.746395	    1.252918	    1.210193
   177.925	1	0	    0	    0.769207	    0.700542	    0.720378	    1.857481	    1.346304	    1.814755	    1.969787	    1.415274	    1.580072	    0.280613	    0.209506	    0.205234	    1.690852	    1.379873	    1.455863	    1.811704	    1.235828	    1.147326	    1.750362	    1.261158	    1.221180
   177.980	1	0	    0	    0.770428	    0.703899	    0.724956	    1.863890	    1.351186	    1.823301	    1.957275	    1.429007	    1.573358	    0.280919	    0.209506	    0.204623	    1.702449	    1.383536	    1.459220	    1.816892	    1.238575	    1.169604	    1.752193	    1.273060	    1.224842
   178.035	1	0	    0	    0.773480	    0.706340	    0.724346	    1.867857	    1.349660	    1.831540	    1.985046	    1.432364	    1.591974	    0.281224	    0.210422	    0.206760	    1.698177	    1.389029	    1.470207	    1.823301	    1.243153	    1.173571	    1.767147	    1.273976	    1.239185
   178.090	1	0	    0	    0.763104	    0.695354	    0.710918	    1.867857	    1.347219	    1.815366	    1.945373	    1.400320	    1.565423	    0.281529	    0.209201	    0.204623	    1.696956	    1.376211	    1.454032	    1.803464	    1.212634	    1.136339	    1.747921	    1.257496	    1.209277
   178.145	1	0	    0	    0.755474	    0.692302	    0.706950	    1.848936	    1.329824	    1.799802	    1.927672	    1.392081	    1.530632	    0.277867	    0.206455	    0.202487	    1.675288	    1.360342	    1.429007	    1.772335	    1.210498	    1.132982	    1.724117	    1.243763	    1.193103
   178.200	1	0	    0	    0.754559	    0.689250	    0.706340	    1.841917	    1.327993	    1.784848	    1.934386	    1.396048	    1.534905	    0.277256	    0.205539	    0.200961	    1.666743	    1.355764	    1.423209	    1.775387	    1.206226	    1.125048	    1.712825	    1.232776	    1.195239
   178.255	1	0	    0	    0.758526	    0.690166	    0.706645	    1.835508	    1.327382	    1.797055	    1.933471	    1.385061	    1.530632	    0.276646	    0.204013	    0.201877	    1.655756	    1.355764	    1.433280	    1.775998	    1.188525	    1.121996	    1.722896	    1.232166	    1.193713
   178.310	1	0	    0	    0.761273	    0.691386	    0.710307	    1.840085	    1.329824	    1.793698	    1.944762	    1.385977	    1.541009	    0.278782	    0.206455	    0.200046	    1.664912	    1.356374	    1.434806	    1.769284	    1.197375	    1.126268	    1.725643	    1.235828	    1.188830
   178.365	1	0	    0	    0.759136	    0.695659	    0.710918	    1.845579	    1.330434	    1.794003	    1.937133	    1.394522	    1.537346	    0.277562	    0.205539	    0.201266	    1.670100	    1.360647	    1.430228	    1.789425	    1.203174	    1.141833	    1.719234	    1.238575	    1.188220
   178.420	1	0	    0	    0.761578	    0.696574	    0.711833	    1.844053	    1.328603	    1.798581	    1.950256	    1.407950	    1.559014	    0.276646	    0.206149	    0.202182	    1.673762	    1.364920	    1.444572	    1.781491	    1.199512	    1.140002	    1.712520	    1.241016	    1.199817
   178.475	1	0	    0	    0.764935	    0.698711	    0.714275	    1.842832	    1.333791	    1.809873	    1.956359	    1.411307	    1.550164	    0.278477	    0.206149	    0.203403	    1.675288	    1.362478	    1.458000	    1.800412	    1.212024	    1.152514	    1.727169	    1.241932	    1.204089
   178.530	1	0	    0	    0.765850	    0.700542	    0.716716	    1.851377	    1.340505	    1.811398	    1.963989	    1.411002	    1.561456	    0.280919	    0.207675	    0.203403	    1.685969	    1.375601	    1.455253	    1.812314	    1.215686	    1.142138	    1.735103	    1.250172	    1.212634
   178.585	1	0	    0	    0.763714	    0.702983	    0.717632	    1.854429	    1.342336	    1.811398	    1.959411	    1.417411	    1.582513	    0.281529	    0.208591	    0.205539	    1.689937	    1.382315	    1.459525	    1.804990	    1.212634	    1.158618	    1.741817	    1.257191	    1.213550
   178.640	1	0	    0	    0.771344	    0.704814	    0.720073	    1.860533	    1.345693	    1.817502	    1.981079	    1.419852	    1.580072	    0.280613	    0.209506	    0.205234	    1.697871	    1.382315	    1.466239	    1.803769	    1.235828	    1.158312	    1.747311	    1.261158	    1.223926
   178.695	1	0	    0	    0.770428	    0.705425	    0.717632	    1.860227	    1.351186	    1.828183	    1.977417	    1.420768	    1.557183	    0.283055	    0.209201	    0.205234	    1.692378	    1.388724	    1.466545	    1.822995	    1.225147	    1.166552	    1.759213	    1.265736	    1.223316
   178.750	1	0	    0	    0.760357	    0.695048	    0.711528	    1.858701	    1.343252	    1.807431	    1.952697	    1.393301	    1.540703	    0.279088	    0.207065	    0.201266	    1.681086	    1.371328	    1.443351	    1.788510	    1.205310	    1.140917	    1.721675	    1.241016	    1.203479
   178.805	1	0	    0	    0.756390	    0.692912	    0.708782	    1.838254	    1.331350	    1.793393	    1.922789	    1.388113	    1.544976	    0.276646	    0.206149	    0.201266	    1.667048	    1.358511	    1.434501	    1.766842	    1.202258	    1.123522	    1.712825	    1.235828	    1.194324
   178.860	1	0	    0	    0.757305	    0.689860	    0.705119	    1.835813	    1.326162	    1.796445	    1.938659	    1.398184	    1.541009	    0.276646	    0.205539	    0.200046	    1.661250	    1.356069	    1.434195	    1.770504	    1.187304	    1.130541	    1.700618	    1.224537	    1.182116
   178.915	1	0	    0	    0.757305	    0.691081	    0.707866	    1.835508	    1.327993	    1.795834	    1.939879	    1.385367	    1.543755	    0.276951	    0.205539	    0.199435	    1.666438	    1.360342	    1.436637	    1.769894	    1.186084	    1.126574	    1.703059	    1.223316	    1.185168
   178.970	1	0	    0	    0.756390	    0.692607	    0.709697	    1.841611	    1.328603	    1.792172	    1.942626	    1.378347	    1.551690	    0.276341	    0.205234	    0.200961	    1.667353	    1.362173	    1.435111	    1.771420	    1.196155	    1.129931	    1.703365	    1.229114	    1.187610
   179.025	1	0	    0	    0.759442	    0.694743	    0.709697	    1.835813	    1.329519	    1.797665	    1.949035	    1.385367	    1.538567	    0.277256	    0.205844	    0.201266	    1.667659	    1.363394	    1.439994	    1.767758	    1.203174	    1.122911	    1.712215	    1.230640	    1.189441
   179.080	1	0	    0	    0.761273	    0.695048	    0.712749	    1.834287	    1.332876	    1.800107	    1.941711	    1.400931	    1.550774	    0.276341	    0.206149	    0.202792	    1.664607	    1.369497	    1.447318	    1.767147	    1.196460	    1.134813	    1.710994	    1.230335	    1.196460
   179.135	1	0	    0	    0.762799	    0.697795	    0.713970	    1.837949	    1.334401	    1.806210	    1.964294	    1.409781	    1.540398	    0.276951	    0.206760	    0.202182	    1.675898	    1.374380	    1.453422	    1.778134	    1.202869	    1.143359	    1.707637	    1.230640	    1.194629
   179.190	1	0	    0	    0.766766	    0.701762	    0.719768	    1.851072	    1.335927	    1.814450	    1.956970	    1.417105	    1.555657	    0.279393	    0.208591	    0.204318	    1.688716	    1.373770	    1.461357	    1.785458	    1.209583	    1.147936	    1.714351	    1.243153	    1.199512
   179.245	1	0	    0	    0.763409	    0.703899	    0.720684	    1.855955	    1.342031	    1.815366	    1.962768	    1.425040	    1.568170	    0.279088	    0.207980	    0.204013	    1.696956	    1.379263	    1.464714	    1.796139	    1.233082	    1.152209	    1.721065	    1.247730	    1.206836
   179.300	1	0	    0	    0.767071	    0.702983	    0.722210	    1.859617	    1.347524	    1.826658	    1.966735	    1.422293	    1.569696	    0.279088	    0.208591	    0.204929	    1.692683	    1.390555	    1.472343	    1.805295	    1.215076	    1.154345	    1.733577	    1.252003	    1.211414
   179.355	1	0	    0	    0.766461	    0.700237	    0.716411	    1.859007	    1.348135	    1.823301	    1.966125	    1.412222	    1.568170	    0.278477	    0.207370	    0.203403	    1.693904	    1.387808	    1.463493	    1.787594	    1.211109	    1.149462	    1.719234	    1.242237	    1.204089
   179.410	1	0	    0	    0.756085	    0.692302	    0.711223	    1.842222	    1.333486	    1.797055	    1.942016	    1.392691	    1.552605	    0.277256	    0.205844	    0.200961	    1.670100	    1.369497	    1.437552	    1.774166	    1.198291	    1.125963	    1.701228	    1.223316	    1.186084
   179.465	1	0	    0	    0.756695	    0.689860	    0.709697	    1.831540	    1.329213	    1.791562	    1.935302	    1.378347	    1.541619	    0.275120	    0.205234	    0.200656	    1.659113	    1.359731	    1.436637	    1.768978	    1.197070	    1.118944	    1.696040	    1.221485	    1.182422
   179.520	1	0	    0	    0.757610	    0.691691	    0.709697	    1.828489	    1.330434	    1.791562	    1.929808	    1.391775	    1.543755	    0.274815	    0.204929	    0.200351	    1.659113	    1.358206	    1.435111	    1.752804	    1.186389	    1.123522	    1.692073	    1.216602	    1.178454
   179.575	1	0	    0	    0.759747	    0.694743	    0.706340	    1.828183	    1.331655	    1.797055	    1.937438	    1.393606	    1.536736	    0.275425	    0.204929	    0.200351	    1.658198	    1.365225	    1.441215	    1.766842	    1.201343	    1.138170	    1.691768	    1.220264	    1.178149
   179.630	1	0	    0	    0.757305	    0.694438	    0.711528	    1.831846	    1.332570	    1.796445	    1.942016	    1.403983	    1.556268	    0.276646	    0.204013	    0.199741	    1.657588	    1.366751	    1.441215	    1.769284	    1.197986	    1.134508	    1.698482	    1.221790	    1.176928
   179.685	1	0	    0	    0.758526	    0.695354	    0.709697	    1.839475	    1.327077	    1.801022	    1.959106	    1.409781	    1.553826	    0.274510	    0.204929	    0.198520	    1.667964	    1.365835	    1.443961	    1.770199	    1.205310	    1.127794	    1.689021	    1.225757	    1.181201
   179.740	1	0	    0	    0.763104	    0.696269	    0.714885	    1.838865	    1.334096	    1.802548	    1.943847	    1.400626	    1.565423	    0.276646	    0.205234	    0.200961	    1.678645	    1.372549	    1.444572	    1.790951	    1.207141	    1.144579	    1.698787	    1.224842	    1.186389
   179.795	1	0	    0	    0.763409	    0.697795	    0.716411	    1.843748	    1.333486	    1.809567	    1.971008	    1.410086	    1.565118	    0.278172	    0.206760	    0.202487	    1.678035	    1.374685	    1.453727	    1.793393	    1.199207	    1.153429	    1.707942	    1.235218	    1.192187
   179.850	1	0	    0	    0.765850	    0.701457	    0.720989	    1.844968	    1.341726	    1.811398	    1.973449	    1.427176	    1.578546	    0.279393	    0.207065	    0.202792	    1.677119	    1.378653	    1.458915	    1.816892	    1.216907	    1.155566	    1.720760	    1.236744	    1.197986
   179.905	1	0	    0	    0.768597	    0.704509	    0.724956	    1.856565	    1.348440	    1.815366	    1.969787	    1.429923	    1.588922	    0.276341	    0.208896	    0.202792	    1.688411	    1.382925	    1.458000	    1.799802	    1.241016	    1.144274	    1.714351	    1.247425	    1.206226
   179.960	2	0	    0	    0.766766	    0.701762	    0.720684	    1.860838	    1.348135	    1.826963	    1.968566	    1.419852	    1.570306	    0.278782	    0.207980	    0.205539	    1.690852	    1.387808	    1.467460	    1.801328	    1.224231	    1.155566	    1.722896	    1.249561	    1.206531
   180.015	2	0	    0	    0.757916	    0.693217	    0.711528	    1.841917	    1.337758	    1.814145	    1.947204	    1.403067	    1.545586	    0.276036	    0.206149	    0.200961	    1.671015	    1.374075	    1.449454	    1.767147	    1.211719	    1.142748	    1.696345	    1.228809	    1.186389
   180.070	2	0	    0	    0.759136	    0.692607	    0.709697	    1.838560	    1.330434	    1.799496	    1.942321	    1.404593	    1.544060	    0.275425	    0.204013	    0.200046	    1.656672	    1.360037	    1.438773	    1.765621	    1.191272	    1.130846	    1.689631	    1.218433	    1.178759
   180.125	2	0	    0	    0.757305	    0.693523	    0.710918	    1.840696	    1.328603	    1.798276	    1.930724	    1.412222	    1.544976	    0.274510	    0.203708	    0.199435	    1.663081	    1.358816	    1.432670	    1.765927	    1.188525	    1.133288	    1.693599	    1.217212	    1.179675
   180.180	2	0	    0	    0.757610	    0.691691	    0.711223	    1.837034	    1.331044	    1.797360	    1.931945	    1.396658	    1.543145	    0.272984	    0.204318	    0.201266	    1.659724	    1.360342	    1.431144	    1.756466	    1.195850	    1.136034	    1.689326	    1.222705	    1.182116
   180.235	2	0	    0	    0.759747	    0.692912	    0.710307	    1.838254	    1.334096	    1.800717	    1.947204	    1.403677	    1.550774	    0.275120	    0.204929	    0.199741	    1.660639	    1.362173	    1.437552	    1.767147	    1.195239	    1.125048	    1.694820	    1.223011	    1.182116
   180.290	2	0	    0	    0.758221	    0.696269	    0.710307	    1.835203	    1.329213	    1.802243	    1.971313	    1.401236	    1.555657	    0.275425	    0.204318	    0.200046	    1.660029	    1.360037	    1.441825	    1.781186	    1.201038	    1.137255	    1.696651	    1.224231	    1.178149
   180.345	2	0	    0	    0.757305	    0.696574	    0.711223	    1.840085	    1.335012	    1.805905	    1.950256	    1.423514	    1.562676	    0.275120	    0.204929	    0.200656	    1.667353	    1.365225	    1.446403	    1.774472	    1.219959	    1.134508	    1.699092	    1.231556	    1.186694
   180.400	2	0	    0	    0.761273	    0.699626	    0.713359	    1.844053	    1.335622	    1.811704	    1.952087	    1.422293	    1.570916	    0.276646	    0.206149	    0.202487	    1.680476	    1.371633	    1.448844	    1.782101	    1.221790	    1.154345	    1.711910	    1.238880	    1.197070
   180.455	2	0	    0	    0.764935	    0.701457	    0.719158	    1.850156	    1.343862	    1.818418	    1.981079	    1.425650	    1.578241	    0.277256	    0.205844	    0.203098	    1.674372	    1.375296	    1.460136	    1.792477	    1.214466	    1.147631	    1.720150	    1.245594	    1.199512
   180.510	2	0	    0	    0.767987	    0.702983	    0.723125	    1.847105	    1.343252	    1.819028	    1.977417	    1.429618	    1.566339	    0.279088	    0.207370	    0.203098	    1.677729	    1.381704	    1.457084	    1.805905	    1.220874	    1.166247	    1.731441	    1.247425	    1.212329
   180.565	2	0	    0	    0.766766	    0.703288	    0.722210	    1.860838	    1.349050	    1.821164	    1.975891	    1.418326	    1.572747	    0.279698	    0.208896	    0.203098	    1.687495	    1.378653	    1.454948	    1.810178	    1.227893	    1.165637	    1.735714	    1.255665	    1.213245
   180.620	2	0	    0	    0.759136	    0.696269	    0.712139	    1.849546	    1.340200	    1.807431	    1.942016	    1.406119	    1.556573	    0.276951	    0.206149	    0.202182	    1.672541	    1.368582	    1.443656	    1.780880	    1.210498	    1.150683	    1.708248	    1.234913	    1.194934
   180.675	2	0	    0	    0.758526	    0.691997	    0.710002	    1.828794	    1.332570	    1.801328	    1.945678	    1.391470	    1.544060	    0.273899	    0.204929	    0.199435	    1.653620	    1.361563	    1.434806	    1.774777	    1.197986	    1.132372	    1.699092	    1.231861	    1.187304
   180.730	2	0	    0	    0.759136	    0.695048	    0.706950	    1.827573	    1.324941	    1.793698	    1.945068	    1.397269	    1.546197	    0.274815	    0.204929	    0.200351	    1.648127	    1.353933	    1.431144	    1.766842	    1.206226	    1.131762	    1.696651	    1.233082	    1.187610
   180.785	2	0	    0	    0.760662	    0.695659	    0.710307	    1.841306	    1.329824	    1.798581	    1.931945	    1.408865	    1.549554	    0.275731	    0.204929	    0.200351	    1.662776	    1.359426	    1.436027	    1.762570	    1.204395	    1.126879	    1.709163	    1.234913	    1.191577
   180.840	2	0	    0	    0.758221	    0.693217	    0.710918	    1.839780	    1.332876	    1.800107	    1.929198	    1.409781	    1.559625	    0.275120	    0.205539	    0.201572	    1.664912	    1.358816	    1.440604	    1.763180	    1.197681	    1.138476	    1.700313	    1.231861	    1.197986
   180.895	2	0	    0	    0.759136	    0.695354	    0.712139	    1.832151	    1.332570	    1.796750	    1.946899	    1.407034	    1.549859	    0.276341	    0.205234	    0.200961	    1.664912	    1.363394	    1.438468	    1.776303	    1.206836	    1.136034	    1.708248	    1.229114	    1.195239
   180.950	2	0	    0	    0.761578	    0.698100	    0.715496	    1.836118	    1.331655	    1.805600	    1.946593	    1.410697	    1.559930	    0.277256	    0.205234	    0.201266	    1.663996	    1.366751	    1.447623	    1.788510	    1.212024	    1.139086	    1.718013	    1.240711	    1.199512
   181.005	2	0	    0	    0.762493	    0.699016	    0.722515	    1.850462	    1.337758	    1.804990	    1.980774	    1.426261	    1.578241	    0.277562	    0.206455	    0.202487	    1.676204	    1.371023	    1.451286	    1.803769	    1.225452	    1.154345	    1.726253	    1.245289	    1.205310
   181.060	2	0	    0	    0.766766	    0.703288	    0.720684	    1.852903	    1.337758	    1.816892	    1.965209	    1.426871	    1.584649	    0.276951	    0.208286	    0.203098	    1.676204	    1.376516	    1.459831	    1.796139	    1.230640	    1.149157	    1.725643	    1.255360	    1.207446
   181.115	2	0	    0	    0.769818	    0.704814	    0.722820	    1.851072	    1.343252	    1.824216	    1.990845	    1.425650	    1.572442	    0.277867	    0.207980	    0.203403	    1.685969	    1.381399	    1.463493	    1.819638	    1.228504	    1.158923	    1.734493	    1.263905	    1.212940
   181.170	2	0	    0	    0.764935	    0.698405	    0.714275	    1.852293	    1.342336	    1.820859	    1.975891	    1.403067	    1.550164	    0.279698	    0.206149	    0.201877	    1.674372	    1.379263	    1.456474	    1.794308	    1.215076	    1.152819	    1.723507	    1.244068	    1.200732
   181.225	2	0	    0	    0.755474	    0.690776	    0.709392	    1.839170	    1.332570	    1.794308	    1.936217	    1.414054	    1.551690	    0.275425	    0.205844	    0.200046	    1.662470	    1.360952	    1.430533	    1.763790	    1.206531	    1.135119	    1.700313	    1.233082	    1.183032
   181.280	2	0	    0	    0.757000	    0.692912	    0.707561	    1.831540	    1.330129	    1.795224	    1.943847	    1.392691	    1.557488	    0.273899	    0.203708	    0.200046	    1.651789	    1.356680	    1.424735	    1.755550	    1.201648	    1.133288	    1.689326	    1.228504	    1.180591
   181.335	2	0	    0	    0.757305	    0.691386	    0.707256	    1.833371	    1.328603	    1.797055	    1.945983	    1.396353	    1.548638	    0.272679	    0.203098	    0.200656	    1.655451	    1.358206	    1.437552	    1.764401	    1.188830	    1.144274	    1.692073	    1.220874	    1.180896
   181.390	2	0	    0	    0.759442	    0.694133	    0.708476	    1.835203	    1.330129	    1.799191	    1.955444	    1.403983	    1.549859	    0.272679	    0.203403	    0.199741	    1.662165	    1.353933	    1.439384	    1.767147	    1.192798	    1.148547	    1.687495	    1.218433	    1.176928
   181.445	2	0	    0	    0.759747	    0.694743	    0.711833	    1.838254	    1.325246	    1.789425	    1.956359	    1.413748	    1.552911	    0.272984	    0.204013	    0.199741	    1.662776	    1.359121	    1.430228	    1.781186	    1.205310	    1.134813	    1.686885	    1.220264	    1.176928
   181.500	2	0	    0	    0.757305	    0.695354	    0.711528	    1.838865	    1.327993	    1.799191	    1.945373	    1.419547	    1.562676	    0.273289	    0.204929	    0.199435	    1.666743	    1.361563	    1.440299	    1.779660	    1.213245	    1.138781	    1.690547	    1.227588	    1.179370
   181.555	2	0	    0	    0.761578	    0.699016	    0.714580	    1.843442	    1.331960	    1.808042	    1.963989	    1.409171	    1.564508	    0.276341	    0.204013	    0.201266	    1.671321	    1.363088	    1.447623	    1.775387	    1.223011	    1.145800	    1.701839	    1.229419	    1.189746
   181.610	2	0	    0	    0.763104	    0.701762	    0.717327	    1.845884	    1.335622	    1.808042	    1.967956	    1.417716	    1.566033	    0.276951	    0.206149	    0.201877	    1.667659	    1.372854	    1.444572	    1.779355	    1.218128	    1.147631	    1.710994	    1.234302	    1.192187
   181.665	2	0	    0	    0.763409	    0.703593	    0.722515	    1.850462	    1.339895	    1.813840	    1.966430	    1.433280	    1.580987	    0.277867	    0.206149	    0.202182	    1.672847	    1.374990	    1.453422	    1.797055	    1.208057	    1.160143	    1.720150	    1.241321	    1.201953
   181.720	2	0	    0	    0.766766	    0.701152	    0.718547	    1.853513	    1.344472	    1.817502	    1.975280	    1.418021	    1.568170	    0.278172	    0.207065	    0.203708	    1.679255	    1.378653	    1.457694	    1.807126	    1.226673	    1.161669	    1.719844	    1.249256	    1.201038
   181.775	2	0	    0	    0.756695	    0.692607	    0.708782	    1.845274	    1.338674	    1.805295	    1.951171	    1.396963	    1.550774	    0.274205	    0.204929	    0.200656	    1.669184	    1.364920	    1.443961	    1.770199	    1.197986	    1.131762	    1.690547	    1.225147	    1.185168
   181.830	2	0	    0	    0.756695	    0.692607	    0.704814	    1.831540	    1.321584	    1.789425	    1.940185	    1.400015	    1.539788	    0.273899	    0.203708	    0.197604	    1.655451	    1.343557	    1.427176	    1.743954	    1.194018	    1.117113	    1.684749	    1.212329	    1.167468
