 [File Information]      		 [Data Line]	36
Measured Date	2016/09/08 11:06:36
ID	03001	Version	5.01
Name	ChiK13	[HeaderType]	5.01/2.01
Comment	
[Measurement Info.]
Holder Location	      19
Block Design	Off     
Pre.Rest Time	      60
Task Time	     120
Pos.Rest Time	      30
Loop	       1
Averaging	       1
Total Points	   10913
[.INF File]
Filename	thuong0402.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
   0.00,  0.00,  0.00,  0.00,536.00,458.00,653.00,  0.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Voltage 
Time Range	    0.00	  600.16	Averaing	1
(8,6)(3,6)(8,7)(5,6)(3,5)(5,7)(5,5)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7
Time(sec)	Task	Mark	Count	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm
     0.935	0	0	    0	    0.730144	    0.665751	    0.681926	    1.780880	    1.285573	    1.744869	    1.756771	    1.238880	    1.389029	    0.262913	    0.195163	    0.190890	    1.453117	    1.168994	    1.237049	    1.614862	    1.059434	    0.988632	    1.686275	    1.199817	    1.158923
     0.990	0	0	    0	    0.720684	    0.659648	    0.673686	    1.786374	    1.285267	    1.735714	    1.744564	    1.221485	    1.376822	    0.262913	    0.192416	    0.188754	    1.450980	    1.162890	    1.229114	    1.600519	    1.040208	    0.973373	    1.678645	    1.176928	    1.136339
     1.045	0	0	    0	    0.713054	    0.653544	    0.666667	    1.767453	    1.272145	    1.722591	    1.712215	    1.210498	    1.358206	    0.258946	    0.191501	    0.186618	    1.425345	    1.147021	    1.211414	    1.570916	    1.022202	    0.949264	    1.652399	    1.168383	    1.126268
     1.100	0	0	    0	    0.713970	    0.650797	    0.666056	    1.759823	    1.269093	    1.717403	    1.706111	    1.205921	    1.344778	    0.257115	    0.189670	    0.185702	    1.421683	    1.144274	    1.208972	    1.556268	    1.020676	    0.953536	    1.644770	    1.160143	    1.124743
     1.155	0	0	    0	    0.712749	    0.650797	    0.664836	    1.756466	    1.261769	    1.713741	    1.719234	    1.205310	    1.347829	    0.258030	    0.189975	    0.185702	    1.422599	    1.133593	    1.206226	    1.565728	    1.008774	    0.958114	    1.640803	    1.159838	    1.119249
     1.210	0	0	    0	    0.713970	    0.653849	    0.665446	    1.756466	    1.261158	    1.708553	    1.702754	    1.213245	    1.341726	    0.259861	    0.190280	    0.185702	    1.428702	    1.134508	    1.201648	    1.573663	    1.011826	    0.958114	    1.649348	    1.157092	    1.116503
     1.265	0	0	    0	    0.711528	    0.651408	    0.665751	    1.762570	    1.269093	    1.714656	    1.715267	    1.209888	    1.355459	    0.258946	    0.189364	    0.186007	    1.425040	    1.143969	    1.209888	    1.569390	    1.020676	    0.951095	    1.646296	    1.158618	    1.124437
     1.320	0	0	    0	    0.715496	    0.652934	    0.667277	    1.758297	    1.269093	    1.716487	    1.714351	    1.212634	    1.348745	    0.259251	    0.191501	    0.187228	    1.426261	    1.146715	    1.210498	    1.573358	    1.023423	    0.959945	    1.654536	    1.164111	    1.129015
     1.375	0	0	    0	    0.718242	    0.652934	    0.671550	    1.757992	    1.265431	    1.718624	    1.725338	    1.211414	    1.352407	    0.259251	    0.192416	    0.186313	    1.428702	    1.148547	    1.223316	    1.585565	    1.029831	    0.963302	    1.664302	    1.172656	    1.133288
     1.430	0	0	    0	    0.718547	    0.657511	    0.669413	    1.763790	    1.273671	    1.728084	    1.719844	    1.219959	    1.360342	    0.261387	    0.192721	    0.188449	    1.433280	    1.154040	    1.219348	    1.603265	    1.039292	    0.970321	    1.668574	    1.179980	    1.136645
