1.0451 	WARNING 	Movie2 stim could not be imported and won't be available
543.4593 	EXP 	Created fixationmain = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationmain', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
543.4619 	EXP 	Created text_8 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_8', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
543.4671 	EXP 	Created text_9 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_9', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'trial 3/3', units=u'norm', win=Window(...), wrapWidth=1)
543.4720 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
543.4747 	EXP 	Created fixationmain = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationmain', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
543.4772 	EXP 	Created text_10 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_10', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
543.4823 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'trial 3/3', units=u'norm', win=Window(...), wrapWidth=1)
543.4894 	EXP 	Created ending_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='ending_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Thank you for your participation :)', units=u'norm', win=Window(...), wrapWidth=1)
543.5017 	EXP 	intro_text: autoDraw = True
545.2681 	DATA 	Keypress: space
545.2846 	EXP 	intro_text: autoDraw = False
545.2846 	EXP 	text: autoDraw = True
549.2338 	DATA 	Keypress: space
549.2503 	EXP 	text: autoDraw = False
549.2503 	EXP 	instruction2_text: autoDraw = True
554.5823 	DATA 	Keypress: space
554.5988 	EXP 	instruction2_text: autoDraw = False
554.5988 	EXP 	rest_text: text = '+'
554.5988 	EXP 	rest_text: autoDraw = True
554.5988 	EXP 	text_5: autoDraw = True
614.6003 	EXP 	Imported Stroopmain-short-in-10event x 4.xlsx as conditions, 40 conditions, 4 params
614.6007 	EXP 	Created sequence: sequential, trialTypes=40, nReps=1, seed=None
614.6019 	EXP 	New trial (rep=0, index=0): {u'color': u'RED', u'congruent': 0, u'word': u'V\xc0NG', u'corrans': u'z'}
614.6163 	EXP 	rest_text: autoDraw = False
614.6163 	EXP 	text_5: autoDraw = False
614.6163 	EXP 	text_2: color = u'RED (named)'
614.6163 	EXP 	text_2: text = u'V\xc0NG'
614.6163 	EXP 	fixationmain: autoDraw = True
615.4160 	EXP 	fixationmain: autoDraw = False
615.4327 	EXP 	text_2: autoDraw = True
616.3160 	DATA 	Keypress: z
616.7157 	EXP 	text_2: autoDraw = False
617.5997 	EXP 	New trial (rep=0, index=1): {u'color': u'RED', u'congruent': 1, u'word': u'\u0110\u1ece', u'corrans': u'z'}
617.6155 	EXP 	text_2: autoDraw = False
617.6155 	EXP 	fixationmain: autoDraw = False
617.6155 	EXP 	text_2: color = u'RED (named)'
617.6155 	EXP 	text_2: text = u'\u0110\u1ece'
617.6155 	EXP 	fixationmain: autoDraw = True
618.4153 	EXP 	fixationmain: autoDraw = False
618.4319 	EXP 	text_2: autoDraw = True
618.8654 	DATA 	Keypress: z
619.7149 	EXP 	text_2: autoDraw = False
620.5985 	EXP 	New trial (rep=0, index=2): {u'color': u'BLUE', u'congruent': 0, u'word': u'XANH L\xc1', u'corrans': u'z'}
620.6147 	EXP 	text_2: autoDraw = False
620.6147 	EXP 	fixationmain: autoDraw = False
620.6147 	EXP 	text_2: color = u'BLUE (named)'
620.6147 	EXP 	text_2: text = u'XANH L\xc1'
620.6147 	EXP 	fixationmain: autoDraw = True
621.4145 	EXP 	fixationmain: autoDraw = False
621.4311 	EXP 	text_2: autoDraw = True
622.2311 	DATA 	Keypress: m
622.7141 	EXP 	text_2: autoDraw = False
623.5978 	EXP 	New trial (rep=0, index=3): {u'color': u'YELLOW', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'z'}
623.6139 	EXP 	text_2: autoDraw = False
623.6139 	EXP 	fixationmain: autoDraw = False
623.6139 	EXP 	text_2: color = u'YELLOW (named)'
623.6139 	EXP 	text_2: text = u'\u0110\u1ece'
623.6139 	EXP 	fixationmain: autoDraw = True
624.4137 	EXP 	fixationmain: autoDraw = False
624.4303 	EXP 	text_2: autoDraw = True
625.1304 	DATA 	Keypress: x
625.7133 	EXP 	text_2: autoDraw = False
626.5970 	EXP 	New trial (rep=0, index=4): {u'color': u'GREEN', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'n'}
626.6131 	EXP 	text_2: autoDraw = False
626.6131 	EXP 	fixationmain: autoDraw = False
626.6131 	EXP 	text_2: color = u'GREEN (named)'
626.6131 	EXP 	text_2: text = u'\u0110\u1ece'
626.6131 	EXP 	fixationmain: autoDraw = True
627.4129 	EXP 	fixationmain: autoDraw = False
627.4295 	EXP 	text_2: autoDraw = True
628.1795 	DATA 	Keypress: n
628.7125 	EXP 	text_2: autoDraw = False
629.5962 	EXP 	New trial (rep=0, index=5): {u'color': u'RED', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'z'}
629.6290 	EXP 	text_2: autoDraw = False
629.6290 	EXP 	fixationmain: autoDraw = False
629.6290 	EXP 	text_2: color = u'RED (named)'
629.6290 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
629.6290 	EXP 	fixationmain: autoDraw = True
630.4121 	EXP 	fixationmain: autoDraw = False
630.4287 	EXP 	text_2: autoDraw = True
631.2121 	DATA 	Keypress: z
631.7117 	EXP 	text_2: autoDraw = False
632.5955 	EXP 	New trial (rep=0, index=6): {u'color': u'GREEN', u'congruent': 0, u'word': u'V\xc0NG', u'corrans': u'n'}
632.6115 	EXP 	text_2: autoDraw = False
632.6115 	EXP 	fixationmain: autoDraw = False
632.6115 	EXP 	text_2: color = u'GREEN (named)'
632.6115 	EXP 	text_2: text = u'V\xc0NG'
632.6115 	EXP 	fixationmain: autoDraw = True
633.4113 	EXP 	fixationmain: autoDraw = False
633.4280 	EXP 	text_2: autoDraw = True
634.7109 	EXP 	text_2: autoDraw = False
634.7444 	DATA 	Keypress: n
635.5946 	EXP 	New trial (rep=0, index=7): {u'color': u'YELLOW', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'x'}
635.6107 	EXP 	text_2: autoDraw = False
635.6107 	EXP 	fixationmain: autoDraw = False
635.6107 	EXP 	text_2: color = u'YELLOW (named)'
635.6107 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
635.6107 	EXP 	fixationmain: autoDraw = True
636.4105 	EXP 	fixationmain: autoDraw = False
636.4272 	EXP 	text_2: autoDraw = True
637.3938 	DATA 	Keypress: x
637.7102 	EXP 	text_2: autoDraw = False
638.5939 	EXP 	New trial (rep=0, index=8): {u'color': u'GREEN', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'n'}
638.6099 	EXP 	text_2: autoDraw = False
638.6099 	EXP 	fixationmain: autoDraw = False
638.6099 	EXP 	text_2: color = u'GREEN (named)'
638.6099 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
638.6099 	EXP 	fixationmain: autoDraw = True
639.4097 	EXP 	fixationmain: autoDraw = False
639.4264 	EXP 	text_2: autoDraw = True
640.3597 	DATA 	Keypress: n
640.7093 	EXP 	text_2: autoDraw = False
641.5931 	EXP 	New trial (rep=0, index=9): {u'color': u'RED', u'congruent': 0, u'word': u'XANH L\xc1', u'corrans': u'z'}
641.6094 	EXP 	text_2: autoDraw = False
641.6094 	EXP 	fixationmain: autoDraw = False
641.6094 	EXP 	text_2: color = u'RED (named)'
641.6094 	EXP 	text_2: text = u'XANH L\xc1'
641.6094 	EXP 	fixationmain: autoDraw = True
642.4089 	EXP 	fixationmain: autoDraw = False
642.4256 	EXP 	text_2: autoDraw = True
642.9923 	DATA 	Keypress: z
643.7086 	EXP 	text_2: autoDraw = False
644.5924 	EXP 	New trial (rep=0, index=10): {u'color': u'YELLOW', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'x'}
644.6083 	EXP 	text_2: autoDraw = False
644.6083 	EXP 	fixationmain: autoDraw = False
644.6083 	EXP 	text_2: color = u'YELLOW (named)'
644.6083 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
644.6083 	EXP 	fixationmain: autoDraw = True
645.4081 	EXP 	fixationmain: autoDraw = False
645.4248 	EXP 	text_2: autoDraw = True
646.0415 	DATA 	Keypress: x
646.7078 	EXP 	text_2: autoDraw = False
647.5915 	EXP 	New trial (rep=0, index=11): {u'color': u'RED', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'z'}
647.6075 	EXP 	text_2: autoDraw = False
647.6075 	EXP 	fixationmain: autoDraw = False
647.6075 	EXP 	text_2: color = u'RED (named)'
647.6075 	EXP 	text_2: text = u'\u0110\u1ece'
647.6075 	EXP 	fixationmain: autoDraw = True
648.4073 	EXP 	fixationmain: autoDraw = False
648.4240 	EXP 	text_2: autoDraw = True
649.2406 	DATA 	Keypress: z
649.7070 	EXP 	text_2: autoDraw = False
650.5907 	EXP 	New trial (rep=0, index=12): {u'color': u'BLUE', u'congruent': 1, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'm'}
650.6067 	EXP 	text_2: autoDraw = False
650.6067 	EXP 	fixationmain: autoDraw = False
650.6067 	EXP 	text_2: color = u'BLUE (named)'
650.6067 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
650.6067 	EXP 	fixationmain: autoDraw = True
651.4065 	EXP 	fixationmain: autoDraw = False
651.4232 	EXP 	text_2: autoDraw = True
652.3065 	DATA 	Keypress: m
652.7062 	EXP 	text_2: autoDraw = False
653.5899 	EXP 	New trial (rep=0, index=13): {u'color': u'GREEN', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'n'}
653.6059 	EXP 	text_2: autoDraw = False
653.6059 	EXP 	fixationmain: autoDraw = False
653.6059 	EXP 	text_2: color = u'GREEN (named)'
653.6059 	EXP 	text_2: text = u'\u0110\u1ece'
653.6059 	EXP 	fixationmain: autoDraw = True
654.4057 	EXP 	fixationmain: autoDraw = False
654.4224 	EXP 	text_2: autoDraw = True
655.3890 	DATA 	Keypress: n
655.7054 	EXP 	text_2: autoDraw = False
656.5891 	EXP 	New trial (rep=0, index=14): {u'color': u'BLUE', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'm'}
656.6051 	EXP 	text_2: autoDraw = False
656.6051 	EXP 	fixationmain: autoDraw = False
656.6051 	EXP 	text_2: color = u'BLUE (named)'
656.6051 	EXP 	text_2: text = u'\u0110\u1ece'
656.6051 	EXP 	fixationmain: autoDraw = True
657.4050 	EXP 	fixationmain: autoDraw = False
657.4216 	EXP 	text_2: autoDraw = True
658.1550 	DATA 	Keypress: m
658.7046 	EXP 	text_2: autoDraw = False
659.5883 	EXP 	New trial (rep=0, index=15): {u'color': u'BLUE', u'congruent': 0, u'word': u'XANH L\xc1', u'corrans': u'm'}
659.6044 	EXP 	text_2: autoDraw = False
659.6044 	EXP 	fixationmain: autoDraw = False
659.6044 	EXP 	text_2: color = u'BLUE (named)'
659.6044 	EXP 	text_2: text = u'XANH L\xc1'
659.6044 	EXP 	fixationmain: autoDraw = True
660.4042 	EXP 	fixationmain: autoDraw = False
660.4208 	EXP 	text_2: autoDraw = True
661.1542 	DATA 	Keypress: m
661.7038 	EXP 	text_2: autoDraw = False
662.5876 	EXP 	New trial (rep=0, index=16): {u'color': u'YELLOW', u'congruent': 0, u'word': u'XANH L\xc1', u'corrans': u'x'}
662.6036 	EXP 	text_2: autoDraw = False
662.6036 	EXP 	fixationmain: autoDraw = False
662.6036 	EXP 	text_2: color = u'YELLOW (named)'
662.6036 	EXP 	text_2: text = u'XANH L\xc1'
662.6036 	EXP 	fixationmain: autoDraw = True
663.4034 	EXP 	fixationmain: autoDraw = False
663.4200 	EXP 	text_2: autoDraw = True
664.2533 	DATA 	Keypress: x
664.7030 	EXP 	text_2: autoDraw = False
665.5867 	EXP 	New trial (rep=0, index=17): {u'color': u'RED', u'congruent': 0, u'word': u'V\xc0NG', u'corrans': u'z'}
665.6037 	EXP 	text_2: autoDraw = False
665.6037 	EXP 	fixationmain: autoDraw = False
665.6037 	EXP 	text_2: color = u'RED (named)'
665.6037 	EXP 	text_2: text = u'V\xc0NG'
665.6037 	EXP 	fixationmain: autoDraw = True
666.4026 	EXP 	fixationmain: autoDraw = False
666.4192 	EXP 	text_2: autoDraw = True
667.0692 	DATA 	Keypress: z
667.7023 	EXP 	text_2: autoDraw = False
668.5859 	EXP 	New trial (rep=0, index=18): {u'color': u'RED', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'z'}
668.6020 	EXP 	text_2: autoDraw = False
668.6020 	EXP 	fixationmain: autoDraw = False
668.6020 	EXP 	text_2: color = u'RED (named)'
668.6020 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
668.6020 	EXP 	fixationmain: autoDraw = True
669.4018 	EXP 	fixationmain: autoDraw = False
669.4184 	EXP 	text_2: autoDraw = True
670.1190 	DATA 	Keypress: z
670.7014 	EXP 	text_2: autoDraw = False
671.5851 	EXP 	New trial (rep=0, index=19): {u'color': u'GREEN', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'm'}
671.6012 	EXP 	text_2: autoDraw = False
671.6012 	EXP 	fixationmain: autoDraw = False
671.6012 	EXP 	text_2: color = u'GREEN (named)'
671.6012 	EXP 	text_2: text = u'\u0110\u1ece'
671.6012 	EXP 	fixationmain: autoDraw = True
672.4010 	EXP 	fixationmain: autoDraw = False
672.4176 	EXP 	text_2: autoDraw = True
673.4177 	DATA 	Keypress: n
673.7006 	EXP 	text_2: autoDraw = False
674.5843 	EXP 	New trial (rep=0, index=20): {u'color': u'BLUE', u'congruent': 0, u'word': u'XANH L\xc1', u'corrans': u'm'}
674.6004 	EXP 	text_2: autoDraw = False
674.6004 	EXP 	fixationmain: autoDraw = False
674.6004 	EXP 	text_2: color = u'BLUE (named)'
674.6004 	EXP 	text_2: text = u'XANH L\xc1'
674.6004 	EXP 	fixationmain: autoDraw = True
675.4002 	EXP 	fixationmain: autoDraw = False
675.4168 	EXP 	text_2: autoDraw = True
676.2668 	DATA 	Keypress: m
676.6998 	EXP 	text_2: autoDraw = False
677.5836 	EXP 	New trial (rep=0, index=21): {u'color': u'RED', u'congruent': 0, u'word': u'V\xc0NG', u'corrans': u'z'}
677.5996 	EXP 	text_2: autoDraw = False
677.5996 	EXP 	fixationmain: autoDraw = False
677.5996 	EXP 	text_2: color = u'RED (named)'
677.5996 	EXP 	text_2: text = u'V\xc0NG'
677.5996 	EXP 	fixationmain: autoDraw = True
678.3994 	EXP 	fixationmain: autoDraw = False
678.4161 	EXP 	text_2: autoDraw = True
679.2827 	DATA 	Keypress: z
679.6990 	EXP 	text_2: autoDraw = False
680.5828 	EXP 	New trial (rep=0, index=22): {u'color': u'GREEN', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'n'}
680.5988 	EXP 	text_2: autoDraw = False
680.5988 	EXP 	fixationmain: autoDraw = False
680.5988 	EXP 	text_2: color = u'GREEN (named)'
680.5988 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
680.5988 	EXP 	fixationmain: autoDraw = True
681.3986 	EXP 	fixationmain: autoDraw = False
681.4152 	EXP 	text_2: autoDraw = True
682.1986 	DATA 	Keypress: n
682.6982 	EXP 	text_2: autoDraw = False
683.5821 	EXP 	New trial (rep=0, index=23): {u'color': u'YELLOW', u'congruent': 1, u'word': u'V\xc0NG', u'corrans': u'x'}
683.5980 	EXP 	text_2: autoDraw = False
683.5980 	EXP 	fixationmain: autoDraw = False
683.5980 	EXP 	text_2: color = u'YELLOW (named)'
683.5980 	EXP 	text_2: text = u'V\xc0NG'
683.5980 	EXP 	fixationmain: autoDraw = True
684.3978 	EXP 	fixationmain: autoDraw = False
684.4145 	EXP 	text_2: autoDraw = True
685.1812 	DATA 	Keypress: x
685.6975 	EXP 	text_2: autoDraw = False
686.5812 	EXP 	New trial (rep=0, index=24): {u'color': u'RED', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'z'}
686.5972 	EXP 	text_2: autoDraw = False
686.5972 	EXP 	fixationmain: autoDraw = False
686.5972 	EXP 	text_2: color = u'RED (named)'
686.5972 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
686.5972 	EXP 	fixationmain: autoDraw = True
687.3970 	EXP 	fixationmain: autoDraw = False
687.4137 	EXP 	text_2: autoDraw = True
688.2637 	DATA 	Keypress: z
688.6967 	EXP 	text_2: autoDraw = False
689.5805 	EXP 	New trial (rep=0, index=25): {u'color': u'GREEN', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'n'}
689.5964 	EXP 	text_2: autoDraw = False
689.5964 	EXP 	fixationmain: autoDraw = False
689.5964 	EXP 	text_2: color = u'GREEN (named)'
689.5964 	EXP 	text_2: text = u'\u0110\u1ece'
689.5964 	EXP 	fixationmain: autoDraw = True
690.3962 	EXP 	fixationmain: autoDraw = False
690.4129 	EXP 	text_2: autoDraw = True
691.1628 	DATA 	Keypress: n
691.6959 	EXP 	text_2: autoDraw = False
692.5796 	EXP 	New trial (rep=0, index=26): {u'color': u'BLUE', u'congruent': 0, u'word': u'XANH L\xc1', u'corrans': u'm'}
692.5956 	EXP 	text_2: autoDraw = False
692.5956 	EXP 	fixationmain: autoDraw = False
692.5956 	EXP 	text_2: color = u'BLUE (named)'
692.5956 	EXP 	text_2: text = u'XANH L\xc1'
692.5956 	EXP 	fixationmain: autoDraw = True
693.3954 	EXP 	fixationmain: autoDraw = False
693.4120 	EXP 	text_2: autoDraw = True
694.1954 	DATA 	Keypress: m
694.6950 	EXP 	text_2: autoDraw = False
695.5789 	EXP 	New trial (rep=0, index=27): {u'color': u'YELLOW', u'congruent': 0, u'word': u'XANH L\xc1', u'corrans': u'x'}
695.5948 	EXP 	text_2: autoDraw = False
695.5948 	EXP 	fixationmain: autoDraw = False
695.5948 	EXP 	text_2: color = u'YELLOW (named)'
695.5948 	EXP 	text_2: text = u'XANH L\xc1'
695.5948 	EXP 	fixationmain: autoDraw = True
696.3946 	EXP 	fixationmain: autoDraw = False
696.4113 	EXP 	text_2: autoDraw = True
697.2281 	DATA 	Keypress: x
697.6943 	EXP 	text_2: autoDraw = False
698.5780 	EXP 	New trial (rep=0, index=28): {u'color': u'GREEN', u'congruent': 0, u'word': u'V\xc0NG', u'corrans': u'n'}
698.5940 	EXP 	text_2: autoDraw = False
698.5940 	EXP 	fixationmain: autoDraw = False
698.5940 	EXP 	text_2: color = u'GREEN (named)'
698.5940 	EXP 	text_2: text = u'V\xc0NG'
698.5940 	EXP 	fixationmain: autoDraw = True
699.3938 	EXP 	fixationmain: autoDraw = False
699.4105 	EXP 	text_2: autoDraw = True
700.1604 	DATA 	Keypress: n
700.6935 	EXP 	text_2: autoDraw = False
701.5773 	EXP 	New trial (rep=0, index=29): {u'color': u'RED', u'congruent': 0, u'word': u'V\xc0NG', u'corrans': u'z'}
701.5932 	EXP 	text_2: autoDraw = False
701.5932 	EXP 	fixationmain: autoDraw = False
701.5932 	EXP 	text_2: color = u'RED (named)'
701.5932 	EXP 	text_2: text = u'V\xc0NG'
701.5932 	EXP 	fixationmain: autoDraw = True
702.3931 	EXP 	fixationmain: autoDraw = False
702.4097 	EXP 	text_2: autoDraw = True
703.6429 	DATA 	Keypress: z
703.6927 	EXP 	text_2: autoDraw = False
704.5764 	EXP 	New trial (rep=0, index=30): {u'color': u'YELLOW', u'congruent': 0, u'word': u'XANH L\xc1', u'corrans': u'x'}
704.5925 	EXP 	text_2: autoDraw = False
704.5925 	EXP 	fixationmain: autoDraw = False
704.5925 	EXP 	text_2: color = u'YELLOW (named)'
704.5925 	EXP 	text_2: text = u'XANH L\xc1'
704.5925 	EXP 	fixationmain: autoDraw = True
705.3922 	EXP 	fixationmain: autoDraw = False
705.4089 	EXP 	text_2: autoDraw = True
706.2423 	DATA 	Keypress: x
706.6919 	EXP 	text_2: autoDraw = False
707.5758 	EXP 	New trial (rep=0, index=31): {u'color': u'BLUE', u'congruent': 0, u'word': u'V\xc0NG', u'corrans': u'm'}
707.5917 	EXP 	text_2: autoDraw = False
707.5917 	EXP 	fixationmain: autoDraw = False
707.5917 	EXP 	text_2: color = u'BLUE (named)'
707.5917 	EXP 	text_2: text = u'V\xc0NG'
707.5917 	EXP 	fixationmain: autoDraw = True
708.3915 	EXP 	fixationmain: autoDraw = False
