
0   3   6
   0.0000000e+00	  -1.3715576e-01	  -6.5818697e-02	
   5.5000000e-02	  -1.3905574e-01	  -7.6020298e-02	
   1.1000000e-01	  -1.4232333e-01	  -8.6303898e-02	
   1.6500000e-01	  -1.4646347e-01	  -9.6366569e-02	
   2.2000000e-01	  -1.5098679e-01	  -1.0592805e-01	
   2.7500000e-01	  -1.5543542e-01	  -1.1474368e-01	
   3.3000000e-01	  -1.5940197e-01	  -1.2261280e-01	
   3.8500000e-01	  -1.6254047e-01	  -1.2938298e-01	
   4.4000000e-01	  -1.6457027e-01	  -1.3495067e-01	
   4.9500000e-01	  -1.6527577e-01	  -1.3925889e-01	
   5.5000000e-01	  -1.6450451e-01	  -1.4229240e-01	
   6.0500000e-01	  -1.6216646e-01	  -1.4407207e-01	
   6.6000000e-01	  -1.5823513e-01	  -1.4464938e-01	
   7.1500000e-01	  -1.5274767e-01	  -1.4410126e-01	
   7.7000000e-01	  -1.4580078e-01	  -1.4252457e-01	
   8.2500000e-01	  -1.3754333e-01	  -1.4003069e-01	
   8.8000000e-01	  -1.2816846e-01	  -1.3674099e-01	
   9.3500000e-01	  -1.1790659e-01	  -1.3278344e-01	
   9.9000000e-01	  -1.0701925e-01	  -1.2829039e-01	
   1.0450000e+00	  -9.5793038e-02	  -1.2339727e-01	
   1.1000000e+00	  -8.4531342e-02	  -1.1824145e-01	
   1.1550000e+00	  -7.3541225e-02	  -1.1295971e-01	
   1.2100000e+00	  -6.3115736e-02	  -1.0768409e-01	
   1.2650000e+00	  -5.3516445e-02	  -1.0253650e-01	
   1.3200000e+00	  -4.4960606e-02	  -9.7623463e-02	
   1.3750000e+00	  -3.7613749e-02	  -9.3031043e-02	
   1.4300000e+00	  -3.1586603e-02	  -8.8820791e-02	
   1.4850000e+00	  -2.6935593e-02	  -8.5027275e-02	
   1.5400000e+00	  -2.3666082e-02	  -8.1658138e-02	
   1.5950000e+00	  -2.1737686e-02	  -7.8696960e-02	
   1.6500000e+00	  -2.1071839e-02	  -7.6108420e-02	
   1.7050000e+00	  -2.1561170e-02	  -7.3844844e-02	
   1.7600000e+00	  -2.3078595e-02	  -7.1853084e-02	
   1.8150000e+00	  -2.5483883e-02	  -7.0080781e-02	
   1.8700000e+00	  -2.8626850e-02	  -6.8481246e-02	
   1.9250000e+00	  -3.2347649e-02	  -6.7016293e-02	
   1.9800000e+00	  -3.6475363e-02	  -6.5656311e-02	
   2.0350000e+00	  -4.0826389e-02	  -6.4377369e-02	
   2.0900000e+00	  -4.5204005e-02	  -6.3156736e-02	
   2.1450000e+00	  -4.9400219e-02	  -6.1969049e-02	
   2.2000000e+00	  -5.3200161e-02	  -6.0784366e-02	
   2.2550000e+00	  -5.6388397e-02	  -5.9567793e-02	
   2.3100000e+00	  -5.8756781e-02	  -5.8280115e-02	
   2.3650000e+00	  -6.0114239e-02	  -5.6879347e-02	
   2.4200000e+00	  -6.0298333e-02	  -5.5322949e-02	
   2.4750000e+00	  -5.9187178e-02	  -5.3570112e-02	
   2.5300000e+00	  -5.6710422e-02	  -5.1584193e-02	
   2.5850000e+00	  -5.2859027e-02	  -4.9336370e-02	
   2.6400000e+00	  -4.7692752e-02	  -4.6810842e-02	
