color,congruent,word,corrans,inverse1.thisRepN,inverse1.thisTrialN,inverse1.thisN,inverse1.thisIndex,conven1.thisRepN,conven1.thisTrialN,conven1.thisN,conven1.thisIndex,inverse2.thisRepN,inverse2.thisTrialN,inverse2.thisN,inverse2.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_2.keys,key_resp_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_9.keys,key_resp_9.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,space,27.8092814393,,,,,,,,,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
,,,,,,,,,,,,,,,,,,space,1.74980318258,,,,,,,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
,,,,,,,,,,,,,,,,,,,,space,1.63312041518,,,,,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
,,,,,,,,,,,,,,,,,,,,,,None,,,,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,YELLOW,z,0,0,0,0,,,,,,,,,,,,,,,,z,1,0.99991425448,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,0,1,1,1,,,,,,,,,,,,,,,,z,1,0.433282040518,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,z,0,2,2,2,,,,,,,,,,,,,,,,n,0,0.700032709101,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,RED,z,0,3,3,3,,,,,,,,,,,,,,,,x,0,0.74987634768,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,RED,n,0,4,4,4,,,,,,,,,,,,,,,,n,1,0.800153679807,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,BLUE,z,0,5,5,5,,,,,,,,,,,,,,,,z,1,0.716496510919,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,YELLOW,n,0,6,6,6,,,,,,,,,,,,,,,,n,1,1.24984357236,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,BLUE,x,0,7,7,7,,,,,,,,,,,,,,,,x,1,0.799845128364,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,BLUE,n,0,8,8,8,,,,,,,,,,,,,,,,m,0,1.11659602869,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,GREEN,z,0,9,9,9,,,,,,,,,,,,,,,,z,1,0.766697036252,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,BLUE,x,0,10,10,10,,,,,,,,,,,,,,,,x,1,0.683447737938,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,RED,z,0,11,11,11,,,,,,,,,,,,,,,,z,1,0.8498728384,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,0,12,12,12,,,,,,,,,,,,,,,,m,1,1.11661622358,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,RED,n,0,13,13,13,,,,,,,,,,,,,,,,n,1,0.916834129759,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,RED,m,0,14,14,14,,,,,,,,,,,,,,,,m,1,0.616758581007,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,m,0,15,15,15,,,,,,,,,,,,,,,,m,1,0.599985896682,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,GREEN,x,0,16,16,16,,,,,,,,,,,,,,,,x,1,0.933227414993,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,YELLOW,z,0,17,17,17,,,,,,,,,,,,,,,,z,1,0.583398608076,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,BLUE,z,0,18,18,18,,,,,,,,,,,,,,,,z,1,0.866524684443,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,RED,m,0,19,19,19,,,,,,,,,,,,,,,,n,0,0.833305082557,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,m,0,20,20,20,,,,,,,,,,,,,,,,m,1,1.23297785912,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,YELLOW,z,0,21,21,21,,,,,,,,,,,,,,,,z,1,0.583386358718,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,BLUE,n,0,22,22,22,,,,,,,,,,,,,,,,n,1,0.699923126991,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,1,YELLOW,x,0,23,23,23,,,,,,,,,,,,,,,,x,1,0.716661049617,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,BLUE,z,0,24,24,24,,,,,,,,,,,,,,,,z,1,0.666567457887,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,RED,n,0,25,25,25,,,,,,,,,,,,,,,,n,1,1.11658444146,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,m,0,26,26,26,,,,,,,,,,,,,,,,m,1,0.949842844024,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,GREEN,x,0,27,27,27,,,,,,,,,,,,,,,,x,1,0.933204902656,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,YELLOW,n,0,28,28,28,,,,,,,,,,,,,,,,n,1,1.26647754096,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,YELLOW,z,0,29,29,29,,,,,,,,,,,,,,,,z,1,0.699958550813,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,GREEN,x,0,30,30,30,,,,,,,,,,,,,,,,x,1,0.650075846712,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,YELLOW,m,0,31,31,31,,,,,,,,,,,,,,,,m,1,0.783238306991,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,RED,m,0,32,32,32,,,,,,,,,,,,,,,,m,1,0.700018473359,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,GREEN,x,0,33,33,33,,,,,,,,,,,,,,,,x,1,0.733303625879,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,1,GREEN,n,0,34,34,34,,,,,,,,,,,,,,,,m,0,0.883293727067,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,RED,n,0,35,35,35,,,,,,,,,,,,,,,,n,1,0.833243173631,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,m,0,36,36,36,,,,,,,,,,,,,,,,m,1,0.899936634392,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,YELLOW,m,0,37,37,37,,,,,,,,,,,,,,,,m,1,0.766617912006,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,GREEN,x,0,38,38,38,,,,,,,,,,,,,,,,x,1,0.849985400087,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,BLUE,z,0,39,39,39,,,,,,,,,,,,,,,,z,1,0.849854629894,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
,,,,,,,,,,,,,,,,,,,,,,None,,,,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,1,GREEN,n,,,,,0,0,0,6,,,,,,,,,,,,n,1,1.66642708684,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,0,RED,x,,,,,0,1,1,23,,,,,,,,,,,,x,1,0.733216887165,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,,,,,0,2,2,8,,,,,,,,,,,,z,1,0.58329564724,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,3,3,38,,,,,,,,,,,,x,1,1.28316050701,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,1,GREEN,n,,,,,0,4,4,13,,,,,,,,,,,,n,1,0.949735910424,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,,,,,0,5,5,14,,,,,,,,,,,,m,1,0.96660427218,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,,,,,0,6,6,32,,,,,,,,,,,,m,1,0.499979474043,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,,,,,0,7,7,20,,,,,,,,,,,,m,1,0.450074257609,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,,,,,0,8,8,11,,,,,,,,,,,,z,1,0.83326436171,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,,,,,0,9,9,5,,,,,,,,,,,,z,1,0.566760666712,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,,,,,0,10,10,0,,,,,,,,,,,,z,1,0.949877936786,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,0,GREEN,z,,,,,0,11,11,1,,,,,,,,,,,,z,1,0.866622017198,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,1,GREEN,n,,,,,0,12,12,9,,,,,,,,,,,,n,1,1.06646999271,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,13,13,16,,,,,,,,,,,,x,1,0.749950505964,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,,,,,0,14,14,37,,,,,,,,,,,,m,1,0.816634034814,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,15,15,10,,,,,,,,,,,,x,1,0.749980632769,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,,,,,0,16,16,29,,,,,,,,,,,,z,1,0.749946533197,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,1,GREEN,n,,,,,0,17,17,28,,,,,,,,,,,,n,1,0.916570271929,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,1,YELLOW,z,,,,,0,18,18,3,,,,,,,,,,,,x,0,0.63329985175,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,,,,,0,19,19,17,,,,,,,,,,,,z,1,0.866525346573,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,,,,,0,20,20,36,,,,,,,,,,,,m,1,0.899835659937,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,1,GREEN,n,,,,,0,21,21,35,,,,,,,,,,,,n,1,0.883230162824,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,22,22,27,,,,,,,,,,,,x,1,0.750001820848,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,23,23,30,,,,,,,,,,,,x,1,0.583299620004,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,,,,,0,24,24,26,,,,,,,,,,,,m,1,0.66665353447,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,,,,,0,25,25,19,,,,,,,,,,,,m,1,0.500030457868,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,,,,,0,26,26,15,,,,,,,,,,,,m,1,0.433359509443,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,1,BLUE,m,,,,,0,27,27,31,,,,,,,,,,,,m,1,0.416647078728,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,0,BLUE,n,,,,,0,28,28,34,,,,,,,,,,,,n,1,0.833322959999,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
RED,1,RED,z,,,,,0,29,29,24,,,,,,,,,,,,z,1,0.701272874023,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,1,GREEN,n,,,,,0,30,30,25,,,,,,,,,,,,n,1,0.966557592186,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,1,GREEN,n,,,,,0,31,31,22,,,,,,,,,,,,n,1,0.75000943532,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,32,32,7,,,,,,,,,,,,x,1,0.73322681908,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
BLUE,0,GREEN,m,,,,,0,33,33,12,,,,,,,,,,,,m,1,0.716518030065,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
GREEN,1,GREEN,n,,,,,0,34,34,39,,,,,,,,,,,,n,1,0.799957027921,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
YELLOW,1,YELLOW,x,,,,,0,35,35,33,,,,,,,,,,,,x,1,0.850156228997,,,2016_Sep_07_1432,60.0081850124,stroop short,003,ChiK13,
