time	S1_D1_HbO	S1_D2_HbO	
   5.6100000e+00	   8.4369588e+00	   8.0207402e-01	
   5.6650000e+00	   8.3059332e+00	   7.4926648e-01	
   5.7200000e+00	   8.1810971e+00	   6.6820105e-01	
   5.7750000e+00	   8.0505684e+00	   5.6641504e-01	
   5.8300000e+00	   7.9318629e+00	   4.7587286e-01	
   5.8850000e+00	   7.8677788e+00	   4.3082448e-01	
   5.9400000e+00	   7.8921652e+00	   4.5510242e-01	
   5.9950000e+00	   8.0158889e+00	   5.5173249e-01	
   6.0500000e+00	   8.2063452e+00	   6.8267207e-01	
   6.1050000e+00	   8.3767203e+00	   7.7838203e-01	
   6.1600000e+00	   8.4423649e+00	   7.9515850e-01	
   6.2150000e+00	   8.4007912e+00	   7.5512030e-01	
   6.2700000e+00	   8.3274237e+00	   7.1401113e-01	
   6.3250000e+00	   8.2807089e+00	   6.9747074e-01	
   6.3800000e+00	   8.2445332e+00	   6.7902439e-01	
   6.4350000e+00	   8.1915710e+00	   6.1601052e-01	
   6.4900000e+00	   8.1516248e+00	   4.9995564e-01	
   6.5450000e+00	   8.1541724e+00	   3.7008205e-01	
   6.6000000e+00	   8.1572579e+00	   2.8324443e-01	
   6.6550000e+00	   8.1223389e+00	   2.7690911e-01	
   6.7100000e+00	   8.1239435e+00	   3.4871937e-01	
   6.7650000e+00	   8.2948341e+00	   4.5280283e-01	
   6.8200000e+00	   8.6432895e+00	   5.2695336e-01	
   6.8750000e+00	   8.9162030e+00	   5.4589287e-01	
   6.9300000e+00	   8.6291240e+00	   5.3816206e-01	
   6.9850000e+00	   7.3843192e+00	   5.3637699e-01	
   7.0400000e+00	   5.4338350e+00	   5.3146542e-01	
   7.0950000e+00	   3.8693281e+00	   4.9202620e-01	
   7.1500000e+00	   3.7977289e+00	   4.0717093e-01	
   7.2050000e+00	   5.2016267e+00	   2.9645276e-01	
   7.2600000e+00	   6.9733025e+00	   1.9907025e-01	
   7.3150000e+00	   8.0862564e+00	   1.6284932e-01	
   7.3700000e+00	   8.3733194e+00	   2.1585633e-01	
   7.4250000e+00	   8.2467032e+00	   3.3275436e-01	
   7.4800000e+00	   8.1017891e+00	   4.5045582e-01	
   7.5350000e+00	   8.0846877e+00	   5.2600599e-01	
   7.5900000e+00	   8.1705338e+00	   5.5882386e-01	
   7.6450000e+00	   8.2690388e+00	   5.5860037e-01	
   7.7000000e+00	   8.2781733e+00	   5.2385101e-01	
   7.7550000e+00	   8.1456169e+00	   4.5733149e-01	
   7.8100000e+00	   7.9250894e+00	   3.7579165e-01	
   7.8650000e+00	   7.7459169e+00	   3.0041244e-01	
   7.9200000e+00	   7.7020473e+00	   2.5682058e-01	
   7.9750000e+00	   7.7820702e+00	   2.7780082e-01	
   8.0300000e+00	   7.9120887e+00	   3.7798961e-01	
   8.0850000e+00	   8.0409835e+00	   5.2473133e-01	
   8.1400000e+00	   8.1816397e+00	   6.5582696e-01	
   8.1950000e+00	   8.3758773e+00	   7.2668606e-01	
   8.2500000e+00	   8.5577321e+00	   7.2740872e-01	
   8.3050000e+00	   8.3993395e+00	   6.6876716e-01	
   8.3600000e+00	   7.4084767e+00	   5.7644312e-01	
   8.4150000e+00	   5.4011455e+00	   4.8787458e-01	
   8.4700000e+00	   2.9037393e+00	   4.2642500e-01	
   8.5250000e+00	   8.6139064e-01	   3.8395391e-01	
   8.5800000e+00	  -1.3359672e-01	   3.5184960e-01	
   8.6350000e+00	  -1.8996020e-01	   3.5458832e-01	
   8.6900000e+00	   2.1518069e-01	   4.1847303e-01	
   8.7450000e+00	   6.5097055e-01	   5.1847189e-01	
   8.8000000e+00	   8.4094126e-01	   5.9505206e-01	
   8.8550000e+00	   6.6591959e-01	   6.2263401e-01	
   8.9100000e+00	   2.7805165e-01	   6.2936350e-01	
   8.9650000e+00	   1.7989226e-01	   6.4445552e-01	
   9.0200000e+00	   9.8482106e-01	   6.5396595e-01	
   9.0750000e+00	   2.8680280e+00	   6.2368011e-01	
