1.1742 	WARNING 	Movie2 stim could not be imported and won't be available
16.4890 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x09784C10>, name='window1', pos=[0, 0], screen=0, size=array([1360,  768]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.4890 	EXP 	window1: recordFrameIntervals = False
16.6549 	EXP 	window1: recordFrameIntervals = True
16.8383 	EXP 	window1: recordFrameIntervals = False
16.9346 	EXP 	Created intro_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='intro_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Welcome to Stroop Task \n- Short Paradigm -', units=u'norm', win=Window(...), wrapWidth=1)
17.0002 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
17.0161 	EXP 	Created instruction2_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instruction2_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
17.0207 	EXP 	Created rest_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='rest_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
17.0337 	EXP 	Created text_5 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_5', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'trial 1./3', units=u'norm', win=Window(...), wrapWidth=1)
17.0387 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
17.0423 	EXP 	Created fixationmain = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationmain', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
17.0449 	EXP 	Created text_6 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_6', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
17.0847 	EXP 	Created text_7 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_7', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'trial 2/3', units=u'norm', win=Window(...), wrapWidth=1)
17.0898 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
17.0925 	EXP 	Created fixationmain = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationmain', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
17.0951 	EXP 	Created text_8 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_8', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
17.1005 	EXP 	Created text_9 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_9', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'trial 3/3', units=u'norm', win=Window(...), wrapWidth=1)
17.1055 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
17.1081 	EXP 	Created fixationmain = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixationmain', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
17.1107 	EXP 	Created text_10 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_10', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
17.1159 	EXP 	Created text_11 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_11', opacity=1.0, ori=0, pos=array([-0.8,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'trial 3/3', units=u'norm', win=Window(...), wrapWidth=1)
17.1237 	EXP 	Created ending_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='ending_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Thank you for your participation :)', units=u'norm', win=Window(...), wrapWidth=1)
17.1381 	EXP 	intro_text: autoDraw = True
22.0370 	DATA 	Keypress: space
22.0534 	EXP 	intro_text: autoDraw = False
22.0534 	EXP 	text: autoDraw = True
24.5363 	DATA 	Keypress: space
24.5528 	EXP 	text: autoDraw = False
24.5528 	EXP 	instruction2_text: autoDraw = True
27.8522 	DATA 	Keypress: space
27.8686 	EXP 	instruction2_text: autoDraw = False
27.8686 	EXP 	rest_text: text = '+'
27.8686 	EXP 	rest_text: autoDraw = True
27.8686 	EXP 	text_5: autoDraw = True
87.8705 	EXP 	Imported Stroopmain-short-in-10event x 4.xlsx as conditions, 40 conditions, 4 params
87.8709 	EXP 	Created sequence: sequential, trialTypes=40, nReps=1, seed=None
87.8722 	EXP 	New trial (rep=0, index=0): {u'color': u'RED', u'congruent': 0, u'word': u'V\xc0NG', u'corrans': u'z'}
87.9031 	EXP 	rest_text: autoDraw = False
87.9031 	EXP 	text_5: autoDraw = False
87.9031 	EXP 	text_2: color = u'RED (named)'
87.9031 	EXP 	text_2: text = u'V\xc0NG'
87.9031 	EXP 	fixationmain: autoDraw = True
88.6862 	EXP 	fixationmain: autoDraw = False
88.7028 	EXP 	text_2: autoDraw = True
89.6195 	DATA 	Keypress: x
89.7527 	DATA 	Keypress: z
89.9858 	EXP 	text_2: autoDraw = False
90.8697 	EXP 	New trial (rep=0, index=1): {u'color': u'RED', u'congruent': 1, u'word': u'\u0110\u1ece', u'corrans': u'z'}
90.8856 	EXP 	text_2: autoDraw = False
90.8856 	EXP 	fixationmain: autoDraw = False
90.8856 	EXP 	text_2: color = u'RED (named)'
90.8856 	EXP 	text_2: text = u'\u0110\u1ece'
90.8856 	EXP 	fixationmain: autoDraw = True
91.6853 	EXP 	fixationmain: autoDraw = False
91.7021 	EXP 	text_2: autoDraw = True
92.2188 	DATA 	Keypress: z
92.9850 	EXP 	text_2: autoDraw = False
93.8688 	EXP 	New trial (rep=0, index=2): {u'color': u'BLUE', u'congruent': 0, u'word': u'XANH L\xc1', u'corrans': u'z'}
93.8848 	EXP 	text_2: autoDraw = False
93.8848 	EXP 	fixationmain: autoDraw = False
93.8848 	EXP 	text_2: color = u'BLUE (named)'
93.8848 	EXP 	text_2: text = u'XANH L\xc1'
93.8848 	EXP 	fixationmain: autoDraw = True
94.6846 	EXP 	fixationmain: autoDraw = False
94.7012 	EXP 	text_2: autoDraw = True
95.7012 	DATA 	Keypress: m
95.9842 	EXP 	text_2: autoDraw = False
96.8679 	EXP 	New trial (rep=0, index=3): {u'color': u'YELLOW', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'z'}
96.8841 	EXP 	text_2: autoDraw = False
96.8841 	EXP 	fixationmain: autoDraw = False
96.8841 	EXP 	text_2: color = u'YELLOW (named)'
96.8841 	EXP 	text_2: text = u'\u0110\u1ece'
96.8841 	EXP 	fixationmain: autoDraw = True
97.6838 	EXP 	fixationmain: autoDraw = False
97.7005 	EXP 	text_2: autoDraw = True
98.4504 	DATA 	Keypress: x
98.9835 	EXP 	text_2: autoDraw = False
99.8671 	EXP 	New trial (rep=0, index=4): {u'color': u'GREEN', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'n'}
99.8832 	EXP 	text_2: autoDraw = False
99.8832 	EXP 	fixationmain: autoDraw = False
99.8832 	EXP 	text_2: color = u'GREEN (named)'
99.8832 	EXP 	text_2: text = u'\u0110\u1ece'
99.8832 	EXP 	fixationmain: autoDraw = True
100.6830 	EXP 	fixationmain: autoDraw = False
100.6997 	EXP 	text_2: autoDraw = True
101.5497 	DATA 	Keypress: n
101.9827 	EXP 	text_2: autoDraw = False
102.8663 	EXP 	New trial (rep=0, index=5): {u'color': u'RED', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'z'}
102.8991 	EXP 	text_2: autoDraw = False
102.8991 	EXP 	fixationmain: autoDraw = False
102.8991 	EXP 	text_2: color = u'RED (named)'
102.8991 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
102.8991 	EXP 	fixationmain: autoDraw = True
103.6822 	EXP 	fixationmain: autoDraw = False
103.6989 	EXP 	text_2: autoDraw = True
104.6988 	DATA 	Keypress: z
104.9819 	EXP 	text_2: autoDraw = False
105.8655 	EXP 	New trial (rep=0, index=6): {u'color': u'GREEN', u'congruent': 0, u'word': u'V\xc0NG', u'corrans': u'n'}
105.8817 	EXP 	text_2: autoDraw = False
105.8817 	EXP 	fixationmain: autoDraw = False
105.8817 	EXP 	text_2: color = u'GREEN (named)'
105.8817 	EXP 	text_2: text = u'V\xc0NG'
105.8817 	EXP 	fixationmain: autoDraw = True
106.6814 	EXP 	fixationmain: autoDraw = False
106.6981 	EXP 	text_2: autoDraw = True
107.5147 	DATA 	Keypress: n
107.9811 	EXP 	text_2: autoDraw = False
108.8648 	EXP 	New trial (rep=0, index=7): {u'color': u'YELLOW', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'x'}
108.8808 	EXP 	text_2: autoDraw = False
108.8808 	EXP 	fixationmain: autoDraw = False
108.8808 	EXP 	text_2: color = u'YELLOW (named)'
108.8808 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
108.8808 	EXP 	fixationmain: autoDraw = True
109.6806 	EXP 	fixationmain: autoDraw = False
109.6973 	EXP 	text_2: autoDraw = True
110.7138 	DATA 	Keypress: x
110.9803 	EXP 	text_2: autoDraw = False
111.8640 	EXP 	New trial (rep=0, index=8): {u'color': u'GREEN', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'n'}
111.8800 	EXP 	text_2: autoDraw = False
111.8800 	EXP 	fixationmain: autoDraw = False
111.8800 	EXP 	text_2: color = u'GREEN (named)'
111.8800 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
111.8800 	EXP 	fixationmain: autoDraw = True
112.6798 	EXP 	fixationmain: autoDraw = False
112.6965 	EXP 	text_2: autoDraw = True
113.7964 	DATA 	Keypress: n
113.9796 	EXP 	text_2: autoDraw = False
114.8633 	EXP 	New trial (rep=0, index=9): {u'color': u'RED', u'congruent': 0, u'word': u'XANH L\xc1', u'corrans': u'z'}
114.8793 	EXP 	text_2: autoDraw = False
114.8793 	EXP 	fixationmain: autoDraw = False
114.8793 	EXP 	text_2: color = u'RED (named)'
114.8793 	EXP 	text_2: text = u'XANH L\xc1'
114.8793 	EXP 	fixationmain: autoDraw = True
115.6791 	EXP 	fixationmain: autoDraw = False
115.6957 	EXP 	text_2: autoDraw = True
116.3290 	DATA 	Keypress: z
116.9787 	EXP 	text_2: autoDraw = False
117.8624 	EXP 	New trial (rep=0, index=10): {u'color': u'YELLOW', u'congruent': 0, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'x'}
117.8785 	EXP 	text_2: autoDraw = False
117.8785 	EXP 	fixationmain: autoDraw = False
117.8785 	EXP 	text_2: color = u'YELLOW (named)'
117.8785 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
117.8785 	EXP 	fixationmain: autoDraw = True
118.6782 	EXP 	fixationmain: autoDraw = False
118.6949 	EXP 	text_2: autoDraw = True
119.3950 	DATA 	Keypress: x
119.9779 	EXP 	text_2: autoDraw = False
120.8617 	EXP 	New trial (rep=0, index=11): {u'color': u'RED', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'z'}
120.8777 	EXP 	text_2: autoDraw = False
120.8777 	EXP 	fixationmain: autoDraw = False
120.8777 	EXP 	text_2: color = u'RED (named)'
120.8777 	EXP 	text_2: text = u'\u0110\u1ece'
120.8777 	EXP 	fixationmain: autoDraw = True
121.6774 	EXP 	fixationmain: autoDraw = False
121.6941 	EXP 	text_2: autoDraw = True
122.2442 	DATA 	Keypress: z
122.9771 	EXP 	text_2: autoDraw = False
123.8608 	EXP 	New trial (rep=0, index=12): {u'color': u'BLUE', u'congruent': 1, u'word': u'XANH D\u01af\u01a0NG', u'corrans': u'm'}
123.8769 	EXP 	text_2: autoDraw = False
123.8769 	EXP 	fixationmain: autoDraw = False
123.8769 	EXP 	text_2: color = u'BLUE (named)'
123.8769 	EXP 	text_2: text = u'XANH D\u01af\u01a0NG'
123.8769 	EXP 	fixationmain: autoDraw = True
124.6766 	EXP 	fixationmain: autoDraw = False
124.6934 	EXP 	text_2: autoDraw = True
125.2933 	DATA 	Keypress: m
125.9763 	EXP 	text_2: autoDraw = False
126.8601 	EXP 	New trial (rep=0, index=13): {u'color': u'GREEN', u'congruent': 0, u'word': u'\u0110\u1ece', u'corrans': u'n'}
126.8761 	EXP 	text_2: autoDraw = False
126.8761 	EXP 	fixationmain: autoDraw = False
126.8761 	EXP 	text_2: color = u'GREEN (named)'
126.8761 	EXP 	text_2: text = u'\u0110\u1ece'
126.8761 	EXP 	fixationmain: autoDraw = True
127.6759 	EXP 	fixationmain: autoDraw = False
127.6925 	EXP 	text_2: autoDraw = True
128.3927 	DATA 	Keypress: n
128.9755 	EXP 	text_2: autoDraw = False
